date,region_code,region_name,lat,lon,production,unit
2016-01,R10,PADD 1 — East Coast,39.0,-77.0,1444.0,thousand barrels
2016-01,R20,PADD 2 — Midwest,41.5,-93.0,1808.0,thousand barrels
2016-01,R30,PADD 3 — Gulf Coast,29.8,-95.4,5578.0,thousand barrels
2016-01,R40,PADD 4 — Rocky Mountain,43.0,-107.0,704.0,thousand barrels
2016-01,R50,PADD 5 — West Coast,37.0,-120.0,1072.0,thousand barrels
2016-02,R10,PADD 1 — East Coast,39.0,-77.0,1313.0,thousand barrels
2016-02,R20,PADD 2 — Midwest,41.5,-93.0,1753.0,thousand barrels
2016-02,R30,PADD 3 — Gulf Coast,29.8,-95.4,5524.0,thousand barrels
2016-02,R40,PADD 4 — Rocky Mountain,43.0,-107.0,689.0,thousand barrels
2016-02,R50,PADD 5 — West Coast,37.0,-120.0,1055.0,thousand barrels
2016-03,R10,PADD 1 — East Coast,39.0,-77.0,1368.0,thousand barrels
2016-03,R20,PADD 2 — Midwest,41.5,-93.0,1791.0,thousand barrels
2016-03,R30,PADD 3 — Gulf Coast,29.8,-95.4,5539.0,thousand barrels
2016-03,R40,PADD 4 — Rocky Mountain,43.0,-107.0,678.0,thousand barrels
2016-03,R50,PADD 5 — West Coast,37.0,-120.0,1057.0,thousand barrels
2016-04,R10,PADD 1 — East Coast,39.0,-77.0,1362.0,thousand barrels
2016-04,R20,PADD 2 — Midwest,41.5,-93.0,1674.0,thousand barrels
2016-04,R30,PADD 3 — Gulf Coast,29.8,-95.4,5463.0,thousand barrels
2016-04,R40,PADD 4 — Rocky Mountain,43.0,-107.0,674.0,thousand barrels
2016-04,R50,PADD 5 — West Coast,37.0,-120.0,1023.0,thousand barrels
2016-05,R10,PADD 1 — East Coast,39.0,-77.0,1390.0,thousand barrels
2016-05,R20,PADD 2 — Midwest,41.5,-93.0,1697.0,thousand barrels
2016-05,R30,PADD 3 — Gulf Coast,29.8,-95.4,5411.0,thousand barrels
2016-05,R40,PADD 4 — Rocky Mountain,43.0,-107.0,655.0,thousand barrels
2016-05,R50,PADD 5 — West Coast,37.0,-120.0,1031.0,thousand barrels
2016-06,R10,PADD 1 — East Coast,39.0,-77.0,1282.0,thousand barrels
2016-06,R20,PADD 2 — Midwest,41.5,-93.0,1683.0,thousand barrels
2016-06,R30,PADD 3 — Gulf Coast,29.8,-95.4,5337.0,thousand barrels
2016-06,R40,PADD 4 — Rocky Mountain,43.0,-107.0,645.0,thousand barrels
2016-06,R50,PADD 5 — West Coast,37.0,-120.0,971.0,thousand barrels
2016-07,R10,PADD 1 — East Coast,39.0,-77.0,1349.0,thousand barrels
2016-07,R20,PADD 2 — Midwest,41.5,-93.0,1655.0,thousand barrels
2016-07,R30,PADD 3 — Gulf Coast,29.8,-95.4,5353.0,thousand barrels
2016-07,R40,PADD 4 — Rocky Mountain,43.0,-107.0,657.0,thousand barrels
2016-07,R50,PADD 5 — West Coast,37.0,-120.0,961.0,thousand barrels
2016-08,R10,PADD 1 — East Coast,39.0,-77.0,1375.0,thousand barrels
2016-08,R20,PADD 2 — Midwest,41.5,-93.0,1611.0,thousand barrels
2016-08,R30,PADD 3 — Gulf Coast,29.8,-95.4,5400.0,thousand barrels
2016-08,R40,PADD 4 — Rocky Mountain,43.0,-107.0,654.0,thousand barrels
2016-08,R50,PADD 5 — West Coast,37.0,-120.0,985.0,thousand barrels
2016-09,R10,PADD 1 — East Coast,39.0,-77.0,1234.0,thousand barrels
2016-09,R20,PADD 2 — Midwest,41.5,-93.0,1594.0,thousand barrels
2016-09,R30,PADD 3 — Gulf Coast,29.8,-95.4,5285.0,thousand barrels
2016-09,R40,PADD 4 — Rocky Mountain,43.0,-107.0,651.0,thousand barrels
2016-09,R50,PADD 5 — West Coast,37.0,-120.0,975.0,thousand barrels
2016-10,R10,PADD 1 — East Coast,39.0,-77.0,1281.0,thousand barrels
2016-10,R20,PADD 2 — Midwest,41.5,-93.0,1671.0,thousand barrels
2016-10,R30,PADD 3 — Gulf Coast,29.8,-95.4,5423.0,thousand barrels
2016-10,R40,PADD 4 — Rocky Mountain,43.0,-107.0,658.0,thousand barrels
2016-10,R50,PADD 5 — West Coast,37.0,-120.0,1014.0,thousand barrels
2016-11,R10,PADD 1 — East Coast,39.0,-77.0,1290.0,thousand barrels
2016-11,R20,PADD 2 — Midwest,41.5,-93.0,1669.0,thousand barrels
2016-11,R30,PADD 3 — Gulf Coast,29.8,-95.4,5511.0,thousand barrels
2016-11,R40,PADD 4 — Rocky Mountain,43.0,-107.0,654.0,thousand barrels
2016-11,R50,PADD 5 — West Coast,37.0,-120.0,1030.0,thousand barrels
2016-12,R10,PADD 1 — East Coast,39.0,-77.0,1298.0,thousand barrels
2016-12,R20,PADD 2 — Midwest,41.5,-93.0,1564.0,thousand barrels
2016-12,R30,PADD 3 — Gulf Coast,29.8,-95.4,5562.0,thousand barrels
2016-12,R40,PADD 4 — Rocky Mountain,43.0,-107.0,634.0,thousand barrels
2016-12,R50,PADD 5 — West Coast,37.0,-120.0,1018.0,thousand barrels
2017-01,R10,PADD 1 — East Coast,39.0,-77.0,1308.0,thousand barrels
2017-01,R20,PADD 2 — Midwest,41.5,-93.0,1593.0,thousand barrels
2017-01,R30,PADD 3 — Gulf Coast,29.8,-95.4,5597.0,thousand barrels
2017-01,R40,PADD 4 — Rocky Mountain,43.0,-107.0,622.0,thousand barrels
2017-01,R50,PADD 5 — West Coast,37.0,-120.0,1019.0,thousand barrels
2017-02,R10,PADD 1 — East Coast,39.0,-77.0,1174.0,thousand barrels
2017-02,R20,PADD 2 — Midwest,41.5,-93.0,1655.0,thousand barrels
2017-02,R30,PADD 3 — Gulf Coast,29.8,-95.4,5740.0,thousand barrels
2017-02,R40,PADD 4 — Rocky Mountain,43.0,-107.0,632.0,thousand barrels
2017-02,R50,PADD 5 — West Coast,37.0,-120.0,1027.0,thousand barrels
2017-03,R10,PADD 1 — East Coast,39.0,-77.0,1283.0,thousand barrels
2017-03,R20,PADD 2 — Midwest,41.5,-93.0,1674.0,thousand barrels
2017-03,R30,PADD 3 — Gulf Coast,29.8,-95.4,5769.0,thousand barrels
2017-03,R40,PADD 4 — Rocky Mountain,43.0,-107.0,660.0,thousand barrels
2017-03,R50,PADD 5 — West Coast,37.0,-120.0,1023.0,thousand barrels
2017-04,R10,PADD 1 — East Coast,39.0,-77.0,1290.0,thousand barrels
2017-04,R20,PADD 2 — Midwest,41.5,-93.0,1688.0,thousand barrels
2017-04,R30,PADD 3 — Gulf Coast,29.8,-95.4,5673.0,thousand barrels
2017-04,R40,PADD 4 — Rocky Mountain,43.0,-107.0,679.0,thousand barrels
2017-04,R50,PADD 5 — West Coast,37.0,-120.0,1023.0,thousand barrels
2017-05,R10,PADD 1 — East Coast,39.0,-77.0,1359.0,thousand barrels
2017-05,R20,PADD 2 — Midwest,41.5,-93.0,1670.0,thousand barrels
2017-05,R30,PADD 3 — Gulf Coast,29.8,-95.4,5785.0,thousand barrels
2017-05,R40,PADD 4 — Rocky Mountain,43.0,-107.0,688.0,thousand barrels
2017-05,R50,PADD 5 — West Coast,37.0,-120.0,1003.0,thousand barrels
2017-06,R10,PADD 1 — East Coast,39.0,-77.0,1316.0,thousand barrels
2017-06,R20,PADD 2 — Midwest,41.5,-93.0,1693.0,thousand barrels
2017-06,R30,PADD 3 — Gulf Coast,29.8,-95.4,5736.0,thousand barrels
2017-06,R40,PADD 4 — Rocky Mountain,43.0,-107.0,688.0,thousand barrels
2017-06,R50,PADD 5 — West Coast,37.0,-120.0,953.0,thousand barrels
2017-07,R10,PADD 1 — East Coast,39.0,-77.0,1488.0,thousand barrels
2017-07,R20,PADD 2 — Midwest,41.5,-93.0,1695.0,thousand barrels
2017-07,R30,PADD 3 — Gulf Coast,29.8,-95.4,5892.0,thousand barrels
2017-07,R40,PADD 4 — Rocky Mountain,43.0,-107.0,703.0,thousand barrels
2017-07,R50,PADD 5 — West Coast,37.0,-120.0,922.0,thousand barrels
2017-08,R10,PADD 1 — East Coast,39.0,-77.0,1508.0,thousand barrels
2017-08,R20,PADD 2 — Midwest,41.5,-93.0,1759.0,thousand barrels
2017-08,R30,PADD 3 — Gulf Coast,29.8,-95.4,5767.0,thousand barrels
2017-08,R40,PADD 4 — Rocky Mountain,43.0,-107.0,738.0,thousand barrels
2017-08,R50,PADD 5 — West Coast,37.0,-120.0,950.0,thousand barrels
2017-09,R10,PADD 1 — East Coast,39.0,-77.0,1400.0,thousand barrels
2017-09,R20,PADD 2 — Midwest,41.5,-93.0,1767.0,thousand barrels
2017-09,R30,PADD 3 — Gulf Coast,29.8,-95.4,5962.0,thousand barrels
2017-09,R40,PADD 4 — Rocky Mountain,43.0,-107.0,769.0,thousand barrels
2017-09,R50,PADD 5 — West Coast,37.0,-120.0,967.0,thousand barrels
2017-10,R10,PADD 1 — East Coast,39.0,-77.0,1652.0,thousand barrels
2017-10,R20,PADD 2 — Midwest,41.5,-93.0,1861.0,thousand barrels
2017-10,R30,PADD 3 — Gulf Coast,29.8,-95.4,5978.0,thousand barrels
2017-10,R40,PADD 4 — Rocky Mountain,43.0,-107.0,783.0,thousand barrels
2017-10,R50,PADD 5 — West Coast,37.0,-120.0,992.0,thousand barrels
2017-11,R10,PADD 1 — East Coast,39.0,-77.0,1619.0,thousand barrels
2017-11,R20,PADD 2 — Midwest,41.5,-93.0,1903.0,thousand barrels
2017-11,R30,PADD 3 — Gulf Coast,29.8,-95.4,6335.0,thousand barrels
2017-11,R40,PADD 4 — Rocky Mountain,43.0,-107.0,800.0,thousand barrels
2017-11,R50,PADD 5 — West Coast,37.0,-120.0,994.0,thousand barrels
2017-12,R10,PADD 1 — East Coast,39.0,-77.0,1636.0,thousand barrels
2017-12,R20,PADD 2 — Midwest,41.5,-93.0,1868.0,thousand barrels
2017-12,R30,PADD 3 — Gulf Coast,29.8,-95.4,6272.0,thousand barrels
2017-12,R40,PADD 4 — Rocky Mountain,43.0,-107.0,811.0,thousand barrels
2017-12,R50,PADD 5 — West Coast,37.0,-120.0,983.0,thousand barrels
2018-01,R10,PADD 1 — East Coast,39.0,-77.0,1630.0,thousand barrels
2018-01,R20,PADD 2 — Midwest,41.5,-93.0,1886.0,thousand barrels
2018-01,R30,PADD 3 — Gulf Coast,29.8,-95.4,6274.0,thousand barrels
2018-01,R40,PADD 4 — Rocky Mountain,43.0,-107.0,810.0,thousand barrels
2018-01,R50,PADD 5 — West Coast,37.0,-120.0,976.0,thousand barrels
2018-02,R10,PADD 1 — East Coast,39.0,-77.0,1479.0,thousand barrels
2018-02,R20,PADD 2 — Midwest,41.5,-93.0,1874.0,thousand barrels
2018-02,R30,PADD 3 — Gulf Coast,29.8,-95.4,6536.0,thousand barrels
2018-02,R40,PADD 4 — Rocky Mountain,43.0,-107.0,806.0,thousand barrels
2018-02,R50,PADD 5 — West Coast,37.0,-120.0,994.0,thousand barrels
2018-03,R10,PADD 1 — East Coast,39.0,-77.0,1667.0,thousand barrels
2018-03,R20,PADD 2 — Midwest,41.5,-93.0,1915.0,thousand barrels
2018-03,R30,PADD 3 — Gulf Coast,29.8,-95.4,6718.0,thousand barrels
2018-03,R40,PADD 4 — Rocky Mountain,43.0,-107.0,825.0,thousand barrels
2018-03,R50,PADD 5 — West Coast,37.0,-120.0,955.0,thousand barrels
2018-04,R10,PADD 1 — East Coast,39.0,-77.0,1607.0,thousand barrels
2018-04,R20,PADD 2 — Midwest,41.5,-93.0,1951.0,thousand barrels
2018-04,R30,PADD 3 — Gulf Coast,29.8,-95.4,6686.0,thousand barrels
2018-04,R40,PADD 4 — Rocky Mountain,43.0,-107.0,837.0,thousand barrels
2018-04,R50,PADD 5 — West Coast,37.0,-120.0,965.0,thousand barrels
2018-05,R10,PADD 1 — East Coast,39.0,-77.0,1650.0,thousand barrels
2018-05,R20,PADD 2 — Midwest,41.5,-93.0,1980.0,thousand barrels
2018-05,R30,PADD 3 — Gulf Coast,29.8,-95.4,6634.0,thousand barrels
2018-05,R40,PADD 4 — Rocky Mountain,43.0,-107.0,829.0,thousand barrels
2018-05,R50,PADD 5 — West Coast,37.0,-120.0,936.0,thousand barrels
2018-06,R10,PADD 1 — East Coast,39.0,-77.0,1630.0,thousand barrels
2018-06,R20,PADD 2 — Midwest,41.5,-93.0,1947.0,thousand barrels
2018-06,R30,PADD 3 — Gulf Coast,29.8,-95.4,6904.0,thousand barrels
2018-06,R40,PADD 4 — Rocky Mountain,43.0,-107.0,806.0,thousand barrels
2018-06,R50,PADD 5 — West Coast,37.0,-120.0,930.0,thousand barrels
2018-07,R10,PADD 1 — East Coast,39.0,-77.0,1764.0,thousand barrels
2018-07,R20,PADD 2 — Midwest,41.5,-93.0,2010.0,thousand barrels
2018-07,R30,PADD 3 — Gulf Coast,29.8,-95.4,7158.0,thousand barrels
2018-07,R40,PADD 4 — Rocky Mountain,43.0,-107.0,829.0,thousand barrels
2018-07,R50,PADD 5 — West Coast,37.0,-120.0,849.0,thousand barrels
2018-08,R10,PADD 1 — East Coast,39.0,-77.0,1913.0,thousand barrels
2018-08,R20,PADD 2 — Midwest,41.5,-93.0,2087.0,thousand barrels
2018-08,R30,PADD 3 — Gulf Coast,29.8,-95.4,7456.0,thousand barrels
2018-08,R40,PADD 4 — Rocky Mountain,43.0,-107.0,894.0,thousand barrels
2018-08,R50,PADD 5 — West Coast,37.0,-120.0,897.0,thousand barrels
2018-09,R10,PADD 1 — East Coast,39.0,-77.0,1970.0,thousand barrels
2018-09,R20,PADD 2 — Midwest,41.5,-93.0,2120.0,thousand barrels
2018-09,R30,PADD 3 — Gulf Coast,29.8,-95.4,7411.0,thousand barrels
2018-09,R40,PADD 4 — Rocky Mountain,43.0,-107.0,919.0,thousand barrels
2018-09,R50,PADD 5 — West Coast,37.0,-120.0,928.0,thousand barrels
2018-10,R10,PADD 1 — East Coast,39.0,-77.0,2124.0,thousand barrels
2018-10,R20,PADD 2 — Midwest,41.5,-93.0,2174.0,thousand barrels
2018-10,R30,PADD 3 — Gulf Coast,29.8,-95.4,7429.0,thousand barrels
2018-10,R40,PADD 4 — Rocky Mountain,43.0,-107.0,923.0,thousand barrels
2018-10,R50,PADD 5 — West Coast,37.0,-120.0,914.0,thousand barrels
2018-11,R10,PADD 1 — East Coast,39.0,-77.0,1864.0,thousand barrels
2018-11,R20,PADD 2 — Midwest,41.5,-93.0,2166.0,thousand barrels
2018-11,R30,PADD 3 — Gulf Coast,29.8,-95.4,7765.0,thousand barrels
2018-11,R40,PADD 4 — Rocky Mountain,43.0,-107.0,949.0,thousand barrels
2018-11,R50,PADD 5 — West Coast,37.0,-120.0,949.0,thousand barrels
2018-12,R10,PADD 1 — East Coast,39.0,-77.0,1897.0,thousand barrels
2018-12,R20,PADD 2 — Midwest,41.5,-93.0,2214.0,thousand barrels
2018-12,R30,PADD 3 — Gulf Coast,29.8,-95.4,7812.0,thousand barrels
2018-12,R40,PADD 4 — Rocky Mountain,43.0,-107.0,953.0,thousand barrels
2018-12,R50,PADD 5 — West Coast,37.0,-120.0,912.0,thousand barrels
2019-01,R10,PADD 1 — East Coast,39.0,-77.0,2035.0,thousand barrels
2019-01,R20,PADD 2 — Midwest,41.5,-93.0,2189.0,thousand barrels
2019-01,R30,PADD 3 — Gulf Coast,29.8,-95.4,7737.0,thousand barrels
2019-01,R40,PADD 4 — Rocky Mountain,43.0,-107.0,935.0,thousand barrels
2019-01,R50,PADD 5 — West Coast,37.0,-120.0,946.0,thousand barrels
2019-02,R10,PADD 1 — East Coast,39.0,-77.0,1682.0,thousand barrels
2019-02,R20,PADD 2 — Midwest,41.5,-93.0,2081.0,thousand barrels
2019-02,R30,PADD 3 — Gulf Coast,29.8,-95.4,7647.0,thousand barrels
2019-02,R40,PADD 4 — Rocky Mountain,43.0,-107.0,924.0,thousand barrels
2019-02,R50,PADD 5 — West Coast,37.0,-120.0,941.0,thousand barrels
2019-03,R10,PADD 1 — East Coast,39.0,-77.0,1722.0,thousand barrels
2019-03,R20,PADD 2 — Midwest,41.5,-93.0,2181.0,thousand barrels
2019-03,R30,PADD 3 — Gulf Coast,29.8,-95.4,7858.0,thousand barrels
2019-03,R40,PADD 4 — Rocky Mountain,43.0,-107.0,908.0,thousand barrels
2019-03,R50,PADD 5 — West Coast,37.0,-120.0,908.0,thousand barrels
2019-04,R10,PADD 1 — East Coast,39.0,-77.0,1900.0,thousand barrels
2019-04,R20,PADD 2 — Midwest,41.5,-93.0,2204.0,thousand barrels
2019-04,R30,PADD 3 — Gulf Coast,29.8,-95.4,8006.0,thousand barrels
2019-04,R40,PADD 4 — Rocky Mountain,43.0,-107.0,945.0,thousand barrels
2019-04,R50,PADD 5 — West Coast,37.0,-120.0,925.0,thousand barrels
2019-05,R10,PADD 1 — East Coast,39.0,-77.0,1970.0,thousand barrels
2019-05,R20,PADD 2 — Midwest,41.5,-93.0,2190.0,thousand barrels
2019-05,R30,PADD 3 — Gulf Coast,29.8,-95.4,8013.0,thousand barrels
2019-05,R40,PADD 4 — Rocky Mountain,43.0,-107.0,962.0,thousand barrels
2019-05,R50,PADD 5 — West Coast,37.0,-120.0,923.0,thousand barrels
2019-06,R10,PADD 1 — East Coast,39.0,-77.0,2035.0,thousand barrels
2019-06,R20,PADD 2 — Midwest,41.5,-93.0,2222.0,thousand barrels
2019-06,R30,PADD 3 — Gulf Coast,29.8,-95.4,8058.0,thousand barrels
2019-06,R40,PADD 4 — Rocky Mountain,43.0,-107.0,967.0,thousand barrels
2019-06,R50,PADD 5 — West Coast,37.0,-120.0,906.0,thousand barrels
2019-07,R10,PADD 1 — East Coast,39.0,-77.0,2237.0,thousand barrels
2019-07,R20,PADD 2 — Midwest,41.5,-93.0,2253.0,thousand barrels
2019-07,R30,PADD 3 — Gulf Coast,29.8,-95.4,7723.0,thousand barrels
2019-07,R40,PADD 4 — Rocky Mountain,43.0,-107.0,963.0,thousand barrels
2019-07,R50,PADD 5 — West Coast,37.0,-120.0,895.0,thousand barrels
2019-08,R10,PADD 1 — East Coast,39.0,-77.0,2328.0,thousand barrels
2019-08,R20,PADD 2 — Midwest,41.5,-93.0,2264.0,thousand barrels
2019-08,R30,PADD 3 — Gulf Coast,29.8,-95.4,8354.0,thousand barrels
2019-08,R40,PADD 4 — Rocky Mountain,43.0,-107.0,973.0,thousand barrels
2019-08,R50,PADD 5 — West Coast,37.0,-120.0,821.0,thousand barrels
2019-09,R10,PADD 1 — East Coast,39.0,-77.0,2355.0,thousand barrels
2019-09,R20,PADD 2 — Midwest,41.5,-93.0,2286.0,thousand barrels
2019-09,R30,PADD 3 — Gulf Coast,29.8,-95.4,8356.0,thousand barrels
2019-09,R40,PADD 4 — Rocky Mountain,43.0,-107.0,983.0,thousand barrels
2019-09,R50,PADD 5 — West Coast,37.0,-120.0,892.0,thousand barrels
2019-10,R10,PADD 1 — East Coast,39.0,-77.0,2583.0,thousand barrels
2019-10,R20,PADD 2 — Midwest,41.5,-93.0,2346.0,thousand barrels
2019-10,R30,PADD 3 — Gulf Coast,29.8,-95.4,8441.0,thousand barrels
2019-10,R40,PADD 4 — Rocky Mountain,43.0,-107.0,1025.0,thousand barrels
2019-10,R50,PADD 5 — West Coast,37.0,-120.0,914.0,thousand barrels
2019-11,R10,PADD 1 — East Coast,39.0,-77.0,2385.0,thousand barrels
2019-11,R20,PADD 2 — Midwest,41.5,-93.0,2312.0,thousand barrels
2019-11,R30,PADD 3 — Gulf Coast,29.8,-95.4,8650.0,thousand barrels
2019-11,R40,PADD 4 — Rocky Mountain,43.0,-107.0,1039.0,thousand barrels
2019-11,R50,PADD 5 — West Coast,37.0,-120.0,919.0,thousand barrels
2019-12,R10,PADD 1 — East Coast,39.0,-77.0,2362.0,thousand barrels
2019-12,R20,PADD 2 — Midwest,41.5,-93.0,2306.0,thousand barrels
2019-12,R30,PADD 3 — Gulf Coast,29.8,-95.4,8678.0,thousand barrels
2019-12,R40,PADD 4 — Rocky Mountain,43.0,-107.0,1023.0,thousand barrels
2019-12,R50,PADD 5 — West Coast,37.0,-120.0,899.0,thousand barrels
2020-01,R10,PADD 1 — East Coast,39.0,-77.0,2495.0,thousand barrels
2020-01,R20,PADD 2 — Midwest,41.5,-93.0,2186.0,thousand barrels
2020-01,R30,PADD 3 — Gulf Coast,29.8,-95.4,8709.0,thousand barrels
2020-01,R40,PADD 4 — Rocky Mountain,43.0,-107.0,992.0,thousand barrels
2020-01,R50,PADD 5 — West Coast,37.0,-120.0,898.0,thousand barrels
2020-02,R10,PADD 1 — East Coast,39.0,-77.0,2318.0,thousand barrels
2020-02,R20,PADD 2 — Midwest,41.5,-93.0,2219.0,thousand barrels
2020-02,R30,PADD 3 — Gulf Coast,29.8,-95.4,8688.0,thousand barrels
2020-02,R40,PADD 4 — Rocky Mountain,43.0,-107.0,964.0,thousand barrels
2020-02,R50,PADD 5 — West Coast,37.0,-120.0,913.0,thousand barrels
2020-03,R10,PADD 1 — East Coast,39.0,-77.0,2203.0,thousand barrels
2020-03,R20,PADD 2 — Midwest,41.5,-93.0,2177.0,thousand barrels
2020-03,R30,PADD 3 — Gulf Coast,29.8,-95.4,8739.0,thousand barrels
2020-03,R40,PADD 4 — Rocky Mountain,43.0,-107.0,959.0,thousand barrels
2020-03,R50,PADD 5 — West Coast,37.0,-120.0,859.0,thousand barrels
2020-04,R10,PADD 1 — East Coast,39.0,-77.0,1952.0,thousand barrels
2020-04,R20,PADD 2 — Midwest,41.5,-93.0,1859.0,thousand barrels
2020-04,R30,PADD 3 — Gulf Coast,29.8,-95.4,8221.0,thousand barrels
2020-04,R40,PADD 4 — Rocky Mountain,43.0,-107.0,886.0,thousand barrels
2020-04,R50,PADD 5 — West Coast,37.0,-120.0,888.0,thousand barrels
2020-05,R10,PADD 1 — East Coast,39.0,-77.0,1884.0,thousand barrels
2020-05,R20,PADD 2 — Midwest,41.5,-93.0,1315.0,thousand barrels
2020-05,R30,PADD 3 — Gulf Coast,29.8,-95.4,6802.0,thousand barrels
2020-05,R40,PADD 4 — Rocky Mountain,43.0,-107.0,741.0,thousand barrels
2020-05,R50,PADD 5 — West Coast,37.0,-120.0,804.0,thousand barrels
2020-06,R10,PADD 1 — East Coast,39.0,-77.0,1985.0,thousand barrels
2020-06,R20,PADD 2 — Midwest,41.5,-93.0,1549.0,thousand barrels
2020-06,R30,PADD 3 — Gulf Coast,29.8,-95.4,7253.0,thousand barrels
2020-06,R40,PADD 4 — Rocky Mountain,43.0,-107.0,807.0,thousand barrels
2020-06,R50,PADD 5 — West Coast,37.0,-120.0,775.0,thousand barrels
2020-07,R10,PADD 1 — East Coast,39.0,-77.0,2005.0,thousand barrels
